1731474948.730818 server started (38312): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1731474948.730848 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:13 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T8112
1731474948.730856 using libevent 2.1.12-stable select
1731474948.730867 using utf8proc 2.9.0
1731474948.730874 using ncurses 6.5 20240427
1731474948.736646 cmd_parse_build_commands: command-prompt
1731474948.736649 args_parse_flags: next -N
1731474948.736652 args_parse_flag_argument: -N = Prompt for a command
1731474948.736655 args_parse_flags: next :
1731474948.736658 args_parse: flags end at 3 of 5
1731474948.736661 args_parse: 3 = : (type STRING)
1731474948.736665 args_parse: 4 = command-prompt (type COMMANDS)
1731474948.736673 cmd_parse_build_commands: bind-key -N "Prompt for a command" : { command-prompt }
1731474948.736677 cmdq_get_command: [bind-key/0x14b70c150] group 238
1731474948.736681 cmdq_append <global>: [bind-key/0x14b70c150]
1731474948.736684 yylex_token: end at WS
1731474948.736687 yylex_token: bind
1731474948.736690 yylex_token: end at WS
1731474948.736693 yylex_token: -N
1731474948.736698 yylex_token: end at WS
1731474948.736701 yylex_token: Move to the previously active pane
1731474948.736704 yylex_token: end at WS
1731474948.736707 yylex_token: ;
1731474948.736710 yylex_token: end at WS
1731474948.736713 yylex_token: last-pane
1731474948.736717 cmd_parse_build_commands 0:0: bind
1731474948.736720 cmd_parse_build_commands 0:1: -N
1731474948.736724 cmd_parse_build_commands 0:2: Move to the previously active pane
1731474948.736727 cmd_parse_build_commands 0:3: ;
1731474948.736730 cmd_parse_build_commands 0:4 0:0: last-pane
1731474948.736734 cmd_parse_build_commands 0:0: last-pane
1731474948.736738 args_parse: flags end at 1 of 1
1731474948.736742 cmd_parse_build_commands: last-pane
1731474948.736745 args_parse_flags: next -N
1731474948.736749 args_parse_flag_argument: -N = Move to the previously active pane
1731474948.736752 args_parse_flags: next ;
1731474948.736755 args_parse: flags end at 3 of 5
1731474948.736758 args_parse: 3 = ; (type STRING)
1731474948.736762 args_parse: 4 = last-pane (type COMMANDS)
1731474948.736770 cmd_parse_build_commands: bind-key -N "Move to the previously active pane" \\; { last-pane }
1731474948.736775 cmdq_get_command: [bind-key/0x14b70c5f0] group 246
1731474948.736783 cmdq_append <global>: [bind-key/0x14b70c5f0]
1731474948.736786 yylex_token: end at WS
1731474948.736789 yylex_token: bind
1731474948.736792 yylex_token: end at WS
1731474948.736795 yylex_token: -N
1731474948.736800 yylex_token: end at WS
1731474948.736803 yylex_token: Choose a paste buffer from a list
1731474948.736806 yylex_token: end at WS
1731474948.736808 yylex_token: =
1731474948.736812 yylex_token: end at WS
1731474948.736815 yylex_token: choose-buffer
1731474948.736818 yylex_token: end at WS
1731474948.736821 yylex_token: -Z
1731474948.736825 cmd_parse_build_commands 0:0: bind
1731474948.736828 cmd_parse_build_commands 0:1: -N
1731474948.736831 cmd_parse_build_commands 0:2: Choose a paste buffer from a list
1731474948.736834 cmd_parse_build_commands 0:3: =
1731474948.736837 cmd_parse_build_commands 0:4 0:0: choose-buffer
1731474948.736840 cmd_parse_build_commands 0:4 0:1: -Z
1731474948.736845 cmd_parse_build_commands 0:0: choose-buffer
1731474948.736848 cmd_parse_build_commands 0:1: -Z
1731474948.736851 args_parse_flags: next -Z
1731474948.736854 args_parse_flags: -Z
1731474948.736858 args_parse: flags end at 2 of 2
1731474948.736862 cmd_parse_build_commands: choose-buffer -Z
1731474948.736865 args_parse_flags: next -N
1731474948.736869 args_parse_flag_argument: -N = Choose a paste buffer from a list
1731474948.736872 args_parse_flags: next =
1731474948.736875 args_parse: flags end at 3 of 5
1731474948.736878 args_parse: 3 = = (type STRING)
1731474948.736883 args_parse: 4 = choose-buffer -Z (type COMMANDS)
1731474948.736891 cmd_parse_build_commands: bind-key -N "Choose a paste buffer from a list" = { choose-buffer -Z }
1731474948.736895 cmdq_get_command: [bind-key/0x14b70cb90] group 254
1731474948.736899 cmdq_append <global>: [bind-key/0x14b70cb90]
1731474948.736902 yylex_token: end at WS
1731474948.736905 yylex_token: bind
1731474948.736908 yylex_token: end at WS
1731474948.736911 yylex_token: -N
1731474948.736915 yylex_token: end at WS
1731474948.736918 yylex_token: List key bindings
1731474948.736921 yylex_token: end at WS
1731474948.736924 yylex_token: ?
1731474948.736927 yylex_token: end at WS
1731474948.736930 yylex_token: list-keys
1731474948.736933 yylex_token: end at WS
1731474948.736936 yylex_token: -N
1731474948.736939 cmd_parse_build_commands 0:0: bind
1731474948.736943 cmd_parse_build_commands 0:1: -N
1731474948.736946 cmd_parse_build_commands 0:2: List key bindings
1731474948.736949 cmd_parse_build_commands 0:3: ?
1731474948.736952 cmd_parse_build_commands 0:4 0:0: list-keys
1731474948.736955 cmd_parse_build_commands 0:4 0:1: -N
1731474948.736959 cmd_parse_build_commands 0:0: list-keys
1731474948.736962 cmd_parse_build_commands 0:1: -N
1731474948.736967 args_parse_flags: next -N
1731474948.736970 args_parse_flags: -N
1731474948.736973 args_parse: flags end at 2 of 2
1731474948.736977 cmd_parse_build_commands: list-keys -N
1731474948.736980 args_parse_flags: next -N
1731474948.736984 args_parse_flag_argument: -N = List key bindings
1731474948.736987 args_parse_flags: next ?
1731474948.736990 args_parse: flags end at 3 of 5
1731474948.736993 args_parse: 3 = ? (type STRING)
1731474948.736997 args_parse: 4 = list-keys -N (type COMMANDS)
1731474948.737005 cmd_parse_build_commands: bind-key -N "List key bindings" ? { list-keys -N }
1731474948.737010 cmdq_get_command: [bind-key/0x14b70cd90] group 262
1731474948.737013 cmdq_append <global>: [bind-key/0x14b70cd90]
1731474948.737016 yylex_token: end at WS
1731474948.737019 yylex_token: bind
1731474948.737023 yylex_token: end at WS
1731474948.737025 yylex_token: -N
1731474948.737030 yylex_token: end at WS
1731474948.737033 yylex_token: Choose and detach a client from a list
1731474948.737037 yylex_token: end at WS
1731474948.737039 yylex_token: D
1731474948.737043 yylex_token: end at WS
1731474948.737046 yylex_token: choose-client
1731474948.737049 yylex_token: end at WS
1731474948.737052 yylex_token: -Z
1731474948.737055 cmd_parse_build_commands 0:0: bind
1731474948.737058 cmd_parse_build_commands 0:1: -N
1731474948.737062 cmd_parse_build_commands 0:2: Choose and detach a client from a list
1731474948.737069 cmd_parse_build_commands 0:3: D
1731474948.737073 cmd_parse_build_commands 0:4 0:0: choose-client
1731474948.737076 cmd_parse_build_commands 0:4 0:1: -Z
1731474948.737080 cmd_parse_build_commands 0:0: choose-client
1731474948.737083 cmd_parse_build_commands 0:1: -Z
1731474948.737087 args_parse_flags: next -Z
1731474948.737090 args_parse_flags: -Z
1731474948.737093 args_parse: flags end at 2 of 2
1731474948.737098 cmd_parse_build_commands: choose-client -Z
1731474948.737101 args_parse_flags: next -N
1731474948.737104 args_parse_flag_argument: -N = Choose and detach a client from a list
1731474948.737107 args_parse_flags: next D
1731474948.737110 args_parse: flags end at 3 of 5
1731474948.737113 args_parse: 3 = D (type STRING)
1731474948.737117 args_parse: 4 = choose-client -Z (type COMMANDS)
1731474948.737126 cmd_parse_build_commands: bind-key -N "Choose and detach a client from a list" D { choose-client -Z }
1731474948.737130 cmdq_get_command: [bind-key/0x14b70d0a0] group 270
1731474948.737134 cmdq_append <global>: [bind-key/0x14b70d0a0]
1731474948.737137 yylex_token: end at WS
1731474948.737140 yylex_token: bind
1731474948.737143 yylex_token: end at WS
1731474948.737146 yylex_token: -N
1731474948.737150 yylex_token: end at WS
1731474948.737153 yylex_token: Spread panes out evenly
1731474948.737156 yylex_token: end at WS
1731474948.737159 yylex_token: E
1731474948.737162 yylex_token: end at WS
1731474948.737165 yylex_token: select-layout
1731474948.737168 yylex_token: end at WS
1731474948.737171 yylex_token: -E
1731474948.737175 cmd_parse_build_commands 0:0: bind
1731474948.737178 cmd_parse_build_commands 0:1: -N
1731474948.737181 cmd_parse_build_commands 0:2: Spread panes out evenly
1731474948.737184 cmd_parse_build_commands 0:3: E
1731474948.737187 cmd_parse_build_commands 0:4 0:0: select-layout
1731474948.737190 cmd_parse_build_commands 0:4 0:1: -E
1731474948.737194 cmd_parse_build_commands 0:0: select-layout
1731474948.737197 cmd_parse_build_commands 0:1: -E
1731474948.737202 args_parse_flags: next -E
1731474948.737205 args_parse_flags: -E
1731474948.737208 args_parse: flags end at 2 of 2
1731474948.737212 cmd_parse_build_commands: select-layout -E
1731474948.737215 args_parse_flags: next -N
1731474948.737218 args_parse_flag_argument: -N = Spread panes out evenly
1731474948.737221 args_parse_flags: next E
1731474948.737224 args_parse: flags end at 3 of 5
1731474948.737227 args_parse: 3 = E (type STRING)
1731474948.737231 args_parse: 4 = select-layout -E (type COMMANDS)
1731474948.737239 cmd_parse_build_commands: bind-key -N "Spread panes out evenly" E { select-layout -E }
1731474948.737244 cmdq_get_command: [bind-key/0x14b70d760] group 278
1731474948.737247 cmdq_append <global>: [bind-key/0x14b70d760]
1731474948.737250 yylex_token: end at WS
1731474948.737253 yylex_token: bind
1731474948.737256 yylex_token: end at WS
1731474948.737259 yylex_token: -N
1731474948.737264 yylex_token: end at WS
1731474948.737267 yylex_token: Switch to the last client
1731474948.737270 yylex_token: end at WS
1731474948.737273 yylex_token: L
1731474948.737276 yylex_token: end at WS
1731474948.737279 yylex_token: switch-client
1731474948.737282 yylex_token: end at WS
1731474948.737285 yylex_token: -l
1731474948.737289 cmd_parse_build_commands 0:0: bind
1731474948.737292 cmd_parse_build_commands 0:1: -N
1731474948.737295 cmd_parse_build_commands 0:2: Switch to the last client
1731474948.737298 cmd_parse_build_commands 0:3: L
1731474948.737301 cmd_parse_build_commands 0:4 0:0: switch-client
1731474948.737304 cmd_parse_build_commands 0:4 0:1: -l
1731474948.737308 cmd_parse_build_commands 0:0: switch-client
1731474948.737311 cmd_parse_build_commands 0:1: -l
1731474948.737316 args_parse_flags: next -l
1731474948.737319 args_parse_flags: -l
1731474948.737322 args_parse: flags end at 2 of 2
1731474948.737326 cmd_parse_build_commands: switch-client -l
1731474948.737329 args_parse_flags: next -N
1731474948.737332 args_parse_flag_argument: -N = Switch to the last client
1731474948.737335 args_parse_flags: next L
1731474948.737343 args_parse: flags end at 3 of 5
1731474948.737346 args_parse: 3 = L (type STRING)
1731474948.737350 args_parse: 4 = switch-client -l (type COMMANDS)
1731474948.737358 cmd_parse_build_commands: bind-key -N "Switch to the last client" L { switch-client -l }
1731474948.737363 cmdq_get_command: [bind-key/0x14b70dad0] group 286
1731474948.737366 cmdq_append <global>: [bind-key/0x14b70dad0]
1731474948.737369 yylex_token: end at WS
1731474948.737372 yylex_token: bind
1731474948.737375 yylex_token: end at WS
1731474948.737378 yylex_token: -N
1731474948.737382 yylex_token: end at WS
1731474948.737385 yylex_token: Clear the marked pane
1731474948.737388 yylex_token: end at WS
1731474948.737391 yylex_token: M
1731474948.737394 yylex_token: end at WS
1731474948.737397 yylex_token: select-pane
1731474948.737400 yylex_token: end at WS
1731474948.737403 yylex_token: -M
1731474948.737407 cmd_parse_build_commands 0:0: bind
1731474948.737410 cmd_parse_build_commands 0:1: -N
1731474948.737413 cmd_parse_build_commands 0:2: Clear the marked pane
1731474948.737416 cmd_parse_build_commands 0:3: M
1731474948.737419 cmd_parse_build_commands 0:4 0:0: select-pane
1731474948.737422 cmd_parse_build_commands 0:4 0:1: -M
1731474948.737427 cmd_parse_build_commands 0:0: select-pane
1731474948.737430 cmd_parse_build_commands 0:1: -M
1731474948.737434 args_parse_flags: next -M
1731474948.737437 args_parse_flags: -M
1731474948.737440 args_parse: flags end at 2 of 2
1731474948.737445 cmd_parse_build_commands: select-pane -M
1731474948.737448 args_parse_flags: next -N
1731474948.737451 args_parse_flag_argument: -N = Clear the marked pane
1731474948.737454 args_parse_flags: next M
1731474948.737457 args_parse: flags end at 3 of 5
1731474948.737460 args_parse: 3 = M (type STRING)
1731474948.737464 args_parse: 4 = select-pane -M (type COMMANDS)
1731474948.737472 cmd_parse_build_commands: bind-key -N "Clear the marked pane" M { select-pane -M }
1731474948.737477 cmdq_get_command: [bind-key/0x14b70deb0] group 294
1731474948.737480 cmdq_append <global>: [bind-key/0x14b70deb0]
1731474948.737483 yylex_token: end at WS
1731474948.737486 yylex_token: bind
1731474948.737489 yylex_token: end at WS
1731474948.737492 yylex_token: -N
1731474948.737496 yylex_token: end at WS
1731474948.737499 yylex_token: Enter copy mode
1731474948.737502 yylex_token: end at WS
1731474948.737505 yylex_token: [
1731474948.737508 yylex_token: end at WS
1731474948.737511 yylex_token: copy-mode
1731474948.737514 cmd_parse_build_commands 0:0: bind
1731474948.737517 cmd_parse_build_commands 0:1: -N
1731474948.737521 cmd_parse_build_commands 0:2: Enter copy mode
1731474948.737524 cmd_parse_build_commands 0:3: [
1731474948.737527 cmd_parse_build_commands 0:4 0:0: copy-mode
1731474948.737531 cmd_parse_build_commands 0:0: copy-mode
1731474948.737535 args_parse: flags end at 1 of 1
1731474948.737539 cmd_parse_build_commands: copy-mode
1731474948.737542 args_parse_flags: next -N
1731474948.737545 args_parse_flag_argument: -N = Enter copy mode
1731474948.737548 args_parse_flags: next [
1731474948.737551 args_parse: flags end at 3 of 5
1731474948.737555 args_parse: 3 = [ (type STRING)
1731474948.737558 args_parse: 4 = copy-mode (type COMMANDS)
1731474948.737566 cmd_parse_build_commands: bind-key -N "Enter copy mode" [ { copy-mode }
1731474948.737570 cmdq_get_command: [bind-key/0x14b70dcc0] group 302
1731474948.737574 cmdq_append <global>: [bind-key/0x14b70dcc0]
1731474948.737577 yylex_token: end at WS
1731474948.737580 yylex_token: bind
1731474948.737583 yylex_token: end at WS
1731474948.737586 yylex_token: -N
1731474948.737590 yylex_token: end at WS
1731474948.737594 yylex_token: Paste the most recent paste buffer
1731474948.737597 yylex_token: end at WS
1731474948.737599 yylex_token: ]
1731474948.737603 yylex_token: end at WS
1731474948.737606 yylex_token: paste-buffer
1731474948.737609 yylex_token: end at WS
1731474948.737612 yylex_token: -p
1731474948.737615 cmd_parse_build_commands 0:0: bind
1731474948.737618 cmd_parse_build_commands 0:1: -N
1731474948.737622 cmd_parse_build_commands 0:2: Paste the most recent paste buffer
1731474948.737631 cmd_parse_build_commands 0:3: ]
1731474948.737634 cmd_parse_build_commands 0:4 0:0: paste-buffer
1731474948.737637 cmd_parse_build_commands 0:4 0:1: -p
1731474948.737641 cmd_parse_build_commands 0:0: paste-buffer
1731474948.737645 cmd_parse_build_commands 0:1: -p
1731474948.737649 args_parse_flags: next -p
1731474948.737652 args_parse_flags: -p
1731474948.737655 args_parse: flags end at 2 of 2
1731474948.737659 cmd_parse_build_commands: paste-buffer -p
1731474948.737662 args_parse_flags: next -N
1731474948.737666 args_parse_flag_argument: -N = Paste the most recent paste buffer
1731474948.737669 args_parse_flags: next ]
1731474948.737672 args_parse: flags end at 3 of 5
1731474948.737675 args_parse: 3 = ] (type STRING)
1731474948.737679 args_parse: 4 = paste-buffer -p (type COMMANDS)
1731474948.737688 cmd_parse_build_commands: bind-key -N "Paste the most recent paste buffer" ] { paste-buffer -p }
1731474948.737692 cmdq_get_command: [bind-key/0x14b70e620] group 310
1731474948.737695 cmdq_append <global>: [bind-key/0x14b70e620]
1731474948.737698 yylex_token: end at WS
1731474948.737701 yylex_token: bind
1731474948.737704 yylex_token: end at WS
1731474948.737707 yylex_token: -N
1731474948.737711 yylex_token: end at WS
1731474948.737714 yylex_token: Create a new window
1731474948.737717 yylex_token: end at WS
1731474948.737720 yylex_token: c
1731474948.737723 yylex_token: end at WS
1731474948.737726 yylex_token: new-window
1731474948.737730 cmd_parse_build_commands 0:0: bind
1731474948.737733 cmd_parse_build_commands 0:1: -N
1731474948.737736 cmd_parse_build_commands 0:2: Create a new window
1731474948.737739 cmd_parse_build_commands 0:3: c
1731474948.737742 cmd_parse_build_commands 0:4 0:0: new-window
1731474948.737746 cmd_parse_build_commands 0:0: new-window
1731474948.737750 args_parse: flags end at 1 of 1
1731474948.737755 cmd_parse_build_commands: new-window
1731474948.737758 args_parse_flags: next -N
1731474948.737761 args_parse_flag_argument: -N = Create a new window
1731474948.737764 args_parse_flags: next c
1731474948.737767 args_parse: flags end at 3 of 5
1731474948.737770 args_parse: 3 = c (type STRING)
1731474948.737774 args_parse: 4 = new-window (type COMMANDS)
1731474948.737782 cmd_parse_build_commands: bind-key -N "Create a new window" c { new-window }
1731474948.737786 cmdq_get_command: [bind-key/0x14b70eb30] group 318
1731474948.737789 cmdq_append <global>: [bind-key/0x14b70eb30]
1731474948.737792 yylex_token: end at WS
1731474948.737795 yylex_token: bind
1731474948.737799 yylex_token: end at WS
1731474948.737801 yylex_token: -N
1731474948.737806 yylex_token: end at WS
1731474948.737809 yylex_token: Detach the current client
1731474948.737812 yylex_token: end at WS
1731474948.737814 yylex_token: d
1731474948.737818 yylex_token: end at WS
1731474948.737821 yylex_token: detach-client
1731474948.737825 cmd_parse_build_commands 0:0: bind
1731474948.737828 cmd_parse_build_commands 0:1: -N
1731474948.737831 cmd_parse_build_commands 0:2: Detach the current client
1731474948.737834 cmd_parse_build_commands 0:3: d
1731474948.737837 cmd_parse_build_commands 0:4 0:0: detach-client
1731474948.737841 cmd_parse_build_commands 0:0: detach-client
1731474948.737845 args_parse: flags end at 1 of 1
1731474948.737849 cmd_parse_build_commands: detach-client
1731474948.737852 args_parse_flags: next -N
1731474948.737855 args_parse_flag_argument: -N = Detach the current client
1731474948.737858 args_parse_flags: next d
1731474948.737861 args_parse: flags end at 3 of 5
1731474948.737864 args_parse: 3 = d (type STRING)
1731474948.737868 args_parse: 4 = detach-client (type COMMANDS)
1731474948.737876 cmd_parse_build_commands: bind-key -N "Detach the current client" d { detach-client }
1731474948.737880 cmdq_get_command: [bind-key/0x14b70ed10] group 326
1731474948.737883 cmdq_append <global>: [bind-key/0x14b70ed10]
1731474948.737886 yylex_token: end at WS
1731474948.737889 yylex_token: bind
1731474948.737893 yylex_token: end at WS
1731474948.737895 yylex_token: -N
1731474948.737904 yylex_token: end at WS
1731474948.737907 yylex_token: Search for a pane
1731474948.737910 yylex_token: end at WS
1731474948.737913 yylex_token: f
1731474948.737917 yylex_token: end at WS
1731474948.737920 yylex_token: command-prompt
1731474948.737923 yylex_token: end at WS
1731474948.737926 yylex_token: find-window
1731474948.737929 yylex_token: end at WS
1731474948.737932 yylex_token: -Z
1731474948.737935 yylex_token: end at WS
1731474948.737938 yylex_token: --
1731474948.737941 yylex_token: end at WS
1731474948.737944 yylex_token: %%
1731474948.737948 cmd_parse_build_commands 0:0: bind
1731474948.737951 cmd_parse_build_commands 0:1: -N
1731474948.737954 cmd_parse_build_commands 0:2: Search for a pane
1731474948.737957 cmd_parse_build_commands 0:3: f
1731474948.737960 cmd_parse_build_commands 0:4 0:0: command-prompt
1731474948.737964 cmd_parse_build_commands 0:4 0:1 0:0: find-window
1731474948.737967 cmd_parse_build_commands 0:4 0:1 0:1: -Z
1731474948.737970 cmd_parse_build_commands 0:4 0:1 0:2: --
1731474948.737973 cmd_parse_build_commands 0:4 0:1 0:3: %%
1731474948.737977 cmd_parse_build_commands 0:0: command-prompt
1731474948.737981 cmd_parse_build_commands 0:1 0:0: find-window
1731474948.737984 cmd_parse_build_commands 0:1 0:1: -Z
1731474948.737987 cmd_parse_build_commands 0:1 0:2: --
1731474948.737991 cmd_parse_build_commands 0:1 0:3: %%
1731474948.737995 cmd_parse_build_commands 0:0: find-window
1731474948.737998 cmd_parse_build_commands 0:1: -Z
1731474948.738001 cmd_parse_build_commands 0:2: --
1731474948.738003 cmd_parse_build_commands 0:3: %%
1731474948.738008 args_parse_flags: next -Z
1731474948.738011 args_parse_flags: -Z
1731474948.738014 args_parse_flags: next --
1731474948.738017 args_parse: flags end at 3 of 4
1731474948.738020 args_parse: 3 = %% (type STRING)
1731474948.738026 cmd_parse_build_commands: find-window -Z "%%"
1731474948.738029 args_parse: flags end at 1 of 2
1731474948.738034 args_parse: 1 = find-window -Z "%%" (type COMMANDS)
1731474948.738041 cmd_parse_build_commands: command-prompt { find-window -Z "%%" }
1731474948.738044 args_parse_flags: next -N
1731474948.738048 args_parse_flag_argument: -N = Search for a pane
1731474948.738051 args_parse_flags: next f
1731474948.738054 args_parse: flags end at 3 of 5
1731474948.738057 args_parse: 3 = f (type STRING)
1731474948.738063 args_parse: 4 = command-prompt { find-window -Z "%%" } (type COMMANDS)
1731474948.738074 cmd_parse_build_commands: bind-key -N "Search for a pane" f { command-prompt { find-window -Z "%%" } }
1731474948.738080 cmdq_get_command: [bind-key/0x14b70f2c0] group 334
1731474948.738083 cmdq_append <global>: [bind-key/0x14b70f2c0]
1731474948.738086 yylex_token: end at WS
1731474948.738089 yylex_token: bind
1731474948.738092 yylex_token: end at WS
1731474948.738095 yylex_token: -N
1731474948.738100 yylex_token: end at WS
1731474948.738103 yylex_token: Display window information
1731474948.738106 yylex_token: end at WS
1731474948.738108 yylex_token: i
1731474948.738112 yylex_token: end at WS
1731474948.738115 yylex_token: display-message
1731474948.738119 cmd_parse_build_commands 0:0: bind
1731474948.738122 cmd_parse_build_commands 0:1: -N
1731474948.738125 cmd_parse_build_commands 0:2: Display window information
1731474948.738128 cmd_parse_build_commands 0:3: i
1731474948.738131 cmd_parse_build_commands 0:4 0:0: display-message
1731474948.738136 cmd_parse_build_commands 0:0: display-message
1731474948.738139 args_parse: flags end at 1 of 1
1731474948.738143 cmd_parse_build_commands: display-message
1731474948.738146 args_parse_flags: next -N
1731474948.738150 args_parse_flag_argument: -N = Display window information
1731474948.738153 args_parse_flags: next i
1731474948.738156 args_parse: flags end at 3 of 5
1731474948.738159 args_parse: 3 = i (type STRING)
1731474948.738163 args_parse: 4 = display-message (type COMMANDS)
1731474948.738171 cmd_parse_build_commands: bind-key -N "Display window information" i { display-message }
1731474948.738175 cmdq_get_command: [bind-key/0x14b70f7e0] group 346
1731474948.738183 cmdq_append <global>: [bind-key/0x14b70f7e0]
1731474948.738186 yylex_token: end at WS
1731474948.738189 yylex_token: bind
1731474948.738192 yylex_token: end at WS
1731474948.738195 yylex_token: -N
1731474948.738200 yylex_token: end at WS
1731474948.738203 yylex_token: Select the previously current window
1731474948.738206 yylex_token: end at WS
1731474948.738209 yylex_token: l
1731474948.738212 yylex_token: end at WS
1731474948.738215 yylex_token: last-window
1731474948.738219 cmd_parse_build_commands 0:0: bind
1731474948.738222 cmd_parse_build_commands 0:1: -N
1731474948.738225 cmd_parse_build_commands 0:2: Select the previously current window
1731474948.738228 cmd_parse_build_commands 0:3: l
1731474948.738231 cmd_parse_build_commands 0:4 0:0: last-window
1731474948.738236 cmd_parse_build_commands 0:0: last-window
1731474948.738239 args_parse: flags end at 1 of 1
1731474948.738244 cmd_parse_build_commands: last-window
1731474948.738247 args_parse_flags: next -N
1731474948.738250 args_parse_flag_argument: -N = Select the previously current window
1731474948.738253 args_parse_flags: next l
1731474948.738256 args_parse: flags end at 3 of 5
1731474948.738259 args_parse: 3 = l (type STRING)
1731474948.738263 args_parse: 4 = last-window (type COMMANDS)
1731474948.738271 cmd_parse_build_commands: bind-key -N "Select the previously current window" l { last-window }
1731474948.738275 cmdq_get_command: [bind-key/0x14b70fc70] group 354
1731474948.738279 cmdq_append <global>: [bind-key/0x14b70fc70]
1731474948.738283 yylex_token: end at WS
1731474948.738287 yylex_token: bind
1731474948.738290 yylex_token: end at WS
1731474948.738293 yylex_token: -N
1731474948.738297 yylex_token: end at WS
1731474948.738300 yylex_token: Toggle the marked pane
1731474948.738303 yylex_token: end at WS
1731474948.738306 yylex_token: m
1731474948.738309 yylex_token: end at WS
1731474948.738312 yylex_token: select-pane
1731474948.738315 yylex_token: end at WS
1731474948.738318 yylex_token: -m
1731474948.738321 cmd_parse_build_commands 0:0: bind
1731474948.738324 cmd_parse_build_commands 0:1: -N
1731474948.738328 cmd_parse_build_commands 0:2: Toggle the marked pane
1731474948.738331 cmd_parse_build_commands 0:3: m
1731474948.738334 cmd_parse_build_commands 0:4 0:0: select-pane
1731474948.738337 cmd_parse_build_commands 0:4 0:1: -m
1731474948.738341 cmd_parse_build_commands 0:0: select-pane
1731474948.738344 cmd_parse_build_commands 0:1: -m
1731474948.738349 args_parse_flags: next -m
1731474948.738352 args_parse_flags: -m
1731474948.738355 args_parse: flags end at 2 of 2
1731474948.738359 cmd_parse_build_commands: select-pane -m
1731474948.738362 args_parse_flags: next -N
1731474948.738366 args_parse_flag_argument: -N = Toggle the marked pane
1731474948.738369 args_parse_flags: next m
1731474948.738372 args_parse: flags end at 3 of 5
1731474948.738375 args_parse: 3 = m (type STRING)
1731474948.738379 args_parse: 4 = select-pane -m (type COMMANDS)
1731474948.738387 cmd_parse_build_commands: bind-key -N "Toggle the marked pane" m { select-pane -m }
1731474948.738392 cmdq_get_command: [bind-key/0x14b70fde0] group 362
1731474948.738395 cmdq_append <global>: [bind-key/0x14b70fde0]
1731474948.738398 yylex_token: end at WS
1731474948.738401 yylex_token: bind
1731474948.738404 yylex_token: end at WS
1731474948.738407 yylex_token: -N
1731474948.738411 yylex_token: end at WS
1731474948.738414 yylex_token: Select the next window
1731474948.738417 yylex_token: end at WS
1731474948.738420 yylex_token: n
1731474948.738423 yylex_token: end at WS
1731474948.738426 yylex_token: next-window
1731474948.738430 cmd_parse_build_commands 0:0: bind
1731474948.738433 cmd_parse_build_commands 0:1: -N
1731474948.738436 cmd_parse_build_commands 0:2: Select the next window
1731474948.738439 cmd_parse_build_commands 0:3: n
1731474948.738442 cmd_parse_build_commands 0:4 0:0: next-window
1731474948.738447 cmd_parse_build_commands 0:0: next-window
1731474948.738451 args_parse: flags end at 1 of 1
1731474948.738455 cmd_parse_build_commands: next-window
1731474948.738458 args_parse_flags: next -N
1731474948.738466 args_parse_flag_argument: -N = Select the next window
1731474948.738469 args_parse_flags: next n
1731474948.738472 args_parse: flags end at 3 of 5
1731474948.738476 args_parse: 3 = n (type STRING)
1731474948.738479 args_parse: 4 = next-window (type COMMANDS)
1731474948.738488 cmd_parse_build_commands: bind-key -N "Select the next window" n { next-window }
1731474948.738492 cmdq_get_command: [bind-key/0x14b710310] group 370
1731474948.738495 cmdq_append <global>: [bind-key/0x14b710310]
1731474948.738499 yylex_token: end at WS
1731474948.738502 yylex_token: bind
1731474948.738505 yylex_token: end at WS
1731474948.738508 yylex_token: -N
1731474948.738512 yylex_token: end at WS
1731474948.738515 yylex_token: Select the next pane
1731474948.738518 yylex_token: end at WS
1731474948.738521 yylex_token: o
1731474948.738525 yylex_token: end at WS
1731474948.738527 yylex_token: select-pane
1731474948.738531 yylex_token: end at WS
1731474948.738534 yylex_token: -t:.+
1731474948.738537 cmd_parse_build_commands 0:0: bind
1731474948.738540 cmd_parse_build_commands 0:1: -N
1731474948.738543 cmd_parse_build_commands 0:2: Select the next pane
1731474948.738546 cmd_parse_build_commands 0:3: o
1731474948.738550 cmd_parse_build_commands 0:4 0:0: select-pane
1731474948.738553 cmd_parse_build_commands 0:4 0:1: -t:.+
1731474948.738557 cmd_parse_build_commands 0:0: select-pane
1731474948.738560 cmd_parse_build_commands 0:1: -t:.+
1731474948.738564 args_parse_flags: next -t:.+
1731474948.738567 args_parse_flag_argument: -t = :.+
1731474948.738570 args_parse: flags end at 2 of 2
1731474948.738575 cmd_parse_build_commands: select-pane -t :.+
1731474948.738578 args_parse_flags: next -N
1731474948.738582 args_parse_flag_argument: -N = Select the next pane
1731474948.738585 args_parse_flags: next o
1731474948.738588 args_parse: flags end at 3 of 5
1731474948.738591 args_parse: 3 = o (type STRING)
1731474948.738596 args_parse: 4 = select-pane -t :.+ (type COMMANDS)
1731474948.738604 cmd_parse_build_commands: bind-key -N "Select the next pane" o { select-pane -t :.+ }
1731474948.738609 cmdq_get_command: [bind-key/0x14b7106f0] group 378
1731474948.738612 cmdq_append <global>: [bind-key/0x14b7106f0]
